case_id,kata_sebelum,kata_sesudah,jumlah_token,reduksi_pct,konten_ok
case_001,16920,16920,14570,0.0,True
case_002,9165,9165,7880,0.0,True
case_003,6515,6515,5595,0.0,True
case_004,41500,41500,35532,0.0,True
case_005,14836,14836,12719,0.0,True
case_006,8781,8781,7442,0.0,True
case_007,24445,24445,20819,0.0,True
case_008,16793,16793,14180,0.0,True
case_009,7803,7803,6820,0.0,True
case_010,9543,9543,8164,0.0,True
case_011,10999,10999,9653,0.0,True
case_012,16870,16870,14506,0.0,True
case_013,5216,5216,4597,0.0,True
case_014,18565,18565,15899,0.0,True
case_015,11930,11930,10283,0.0,True
case_016,3620,3620,3122,0.0,True
case_017,4729,4729,3950,0.0,True
case_018,17950,17950,15348,0.0,True
case_019,6072,6072,5109,0.0,True
case_020,3266,3266,2732,0.0,True
case_021,6560,6560,5649,0.0,True
case_022,6461,6461,5494,0.0,True
case_023,4220,4220,3651,0.0,True
case_024,23796,23796,20501,0.0,True
case_025,8956,8956,7734,0.0,True
case_026,4713,4713,4038,0.0,True
case_027,9744,9744,8252,0.0,True
case_028,9179,9179,7856,0.0,True
case_029,8774,8774,7546,0.0,True
case_030,5973,5973,5102,0.0,True
case_031,14841,14841,12673,0.0,True
case_032,13274,13274,11465,0.0,True
case_033,11982,11982,10294,0.0,True
case_034,14996,14996,12535,0.0,True
case_035,11133,11133,9450,0.0,True
case_036,12166,12166,10354,0.0,True
case_037,20846,20846,18112,0.0,True
case_038,3240,3240,2761,0.0,True
case_039,6312,6312,5488,0.0,True
case_040,19477,19477,16043,0.0,True
case_041,11179,11179,9272,0.0,True
case_042,19371,19371,16251,0.0,True
case_043,13105,13105,11207,0.0,True
case_044,7803,7803,6747,0.0,True
case_045,24555,24555,21106,0.0,True
case_046,5102,5102,4404,0.0,True
case_047,10311,10311,8709,0.0,True
case_048,23709,23709,19713,0.0,True
case_049,6335,6335,5315,0.0,True
case_050,12433,12433,10751,0.0,True
case_051,11782,11782,10147,0.0,True
case_052,4818,4818,4008,0.0,True
case_053,21376,21376,18078,0.0,True
case_054,15002,15002,13041,0.0,True
